# ElevenLabs Pronunciation Dictionary for Japanese Medical/Dental Terms
# Format: word phonemes
# IPA notation for Japanese pronunciation

# 医療従事者・施設
歯科医師 ʃikaiʃi
消炎剤 ʃijoɯenzai
解熱剤 ɡenetsɯzai
薬の名前はわかりますか kɯsɯɾinonamaehawakaɾimasɯka
薬の名前 kɯsɯɾinonamae
薬 kɯsɯɾi
内服薬 naifɯkɯjakɯ
外用薬 ɡaijoɯjakɯ
塗り薬 nɯɾiɡɯsɯɾi
飲み薬 nomiɡɯsɯɾi

# その他
先生 sensei
衛生士 eiseiʃi
受付 ɯketsɯke
診療所 ʃinɾijoɯdʒijo
待合室 matʃiaiʃitsɯ
診察室 ʃinsatsɯʃitsɯ
診療 ʃinɾijoɯ
外来 ɡaiɾai
患者 kandʒija
患者さん kandʒijasan
私 wataʃi
僕 bokɯ
家族 kazokɯ
子供 kodomo
主人 ʃijɯdʒin
夫 otto
妻 tsɯma
母 haha
父 tʃitʃi
母親 hahaoja
父親 tʃitʃioja
祖母 sobo
祖父 sofɯ
受けたことはありますか ɯketakotohaaɾimasɯka
受けたことがあります ɯketakotoɡaaɾimasɯ
受けたことはありません ɯketakotohaaɾimasen
受けた ɯketa
親知らず ojaʃiɾazɯ
舌 ʃita
顎 aɡo
上顎 dʒijoɯɡakɯ
下顎 kaɡakɯ
頬 hoo
唇 kɯtʃibiɾɯ
喉 nodo
咽頭 intoɯ
扁桃腺 hentoɯsen
粘膜 nenmakɯ
ズキズキ zɯkizɯki
ジンジン dʒindʒin
キリキリ kiɾikiɾi
脈打つような mijakɯɯtsɯjoɯna
脈打つ mijakɯɯtsɯ
ガンガン ɡanɡan
ドクドク dokɯdokɯ
うずく ɯzɯkɯ
疼く ɯzɯkɯ
しみる ʃimiɾɯ
染みる ʃimiɾɯ
冷たい tsɯmetai
熱い atsɯi
温かい atatakai
膿 ɯmi
膿む ɯmɯ
膿が出る ɯmiɡadeɾɯ
違和感 iwakan
異常 idʒijoɯ
気持ち悪い kimotʃiwaɾɯi
吐き気 hakike
右上 miɡiɯe
右下 miɡiʃita
左上 hidaɾiɯe
左下 hidaɾiʃita
上 ɯe
下 ʃita
右 miɡi
左 hidaɾi
右側 miɡiɡawa
左側 hidaɾiɡawa
真ん中 mannaka
中央 tʃijɯɯoɯ
端 haʃi
奥 okɯ
手前 temae
内側 ɯtʃiɡawa
外側 sotoɡawa
齲蝕 ɯʃijokɯ
知覚過敏 tʃikakɯkabin
顎関節症 ɡakɯkansetsɯʃijoɯ
根尖病巣 konsenbijoɯsoɯ
咬合不全 koɯɡoɯfɯzen
不正咬合 fɯseikoɯɡoɯ
顎変形症 ɡakɯhenkeiʃijoɯ
なるんじゃないかと心配です naɾɯndʒijanaikatoʃinpaidesɯ
じゃないかと心配 dʒijanaikatoʃinpai
心配です ʃinpaidesɯ
処置 ʃijotʃi
手術 ʃijɯdʒijɯtsɯ
麻酔 masɯi
局所麻酔 kijokɯʃijomasɯi
全身麻酔 zenʃinmasɯi
浸潤麻酔 ʃindʒijɯnmasɯi
伝達麻酔 dentatsɯmasɯi
詰める tsɯmeɾɯ
詰めて tsɯmete
詰めた tsɯmeta
被せる kabɯseɾɯ
被せて kabɯsete
被せた kabɯseta
神経を取る ʃinkeiotoɾɯ
消毒 ʃijoɯdokɯ
洗浄 sendʒijoɯ
クリーニング kɯɾːninɡɯ
スケーリング sɯkːɾinɡɯ
詰め物 tsɯmemono
被せ物 kabɯsemono
クラウン kɯɾaɯn
ブリッジ bɯɾiddʒi
インプラント inpɯɾanto
レジン ɾedʒin
セラミック seɾamikkɯ
金属 kinzokɯ
フッ素 fɯsso
マウスピース maɯsɯpːsɯ
わかりました。それでは診察させていただきますね wakaɾimaʃita.soɾedeha,ʃinsatsɯsaseteitadakimasɯne
それでは診察させていただきますね soɾedeha,ʃinsatsɯsaseteitadakimasɯne
診察させていただきますね ʃinsatsɯsaseteitadakimasɯne
診察させていただきます ʃinsatsɯsaseteitadakimasɯ
させていただきますね saseteitadakimasɯne
いただきますね itadakimasɯne
診察 ʃinsatsɯ
診断 ʃindan
検査 kensa
レントゲン ɾentoɡen
X線 ekkɯsɯsen
CT ʃːteː
MRI emɯːɾɯai
視診 ʃiʃin
触診 ʃijokɯʃin
打診 daʃin
問診 monʃin
精密検査 seimitsɯkensa
細菌検査 saikinkensa
唾液検査 daekikensa
噛む時 kamɯtoki
噛む kamɯ
噛めない kamenai
噛むと kamɯto
噛み合わせ kamiawase
噛みしめる kamiʃimeɾɯ
食べる tabeɾɯ
飲む nomɯ
磨く miɡakɯ
うがい ɯɡai
飲み込む nomikomɯ
吐き出す hakidasɯ
抗生物質 koɯseibɯʃʃitsɯ
化膿止め kanoɯdome
わかりますか wakaɾimasɯka
わかります wakaɾimasɯ
わかりません wakaɾimasen
わかる wakaɾɯ
軟膏 nankoɯ
ロキソニン ɾokisonin
ボルタレン boɾɯtaɾen
カロナール kaɾonːɾɯ
イブプロフェン ibɯpɯɾofɯen
アセトアミノフェン asetoaminofɯen
ペニシリン peniʃiɾin
アモキシシリン amokiʃiʃiɾin
アレルギー aɾeɾɯɡː
持病 dʒibijoɯ
既往歴 kioɯɾeki
既往症 kioɯʃijoɯ
糖尿病 toɯnijoɯbijoɯ
心臓病 ʃinzoɯbijoɯ
喘息 zensokɯ
肝臓病 kanzoɯbijoɯ
腎臓病 dʒinzoɯbijoɯ
胃腸病 itʃijoɯbijoɯ
リウマチ ɾiɯmatʃi
骨粗鬆症 kotsɯsoʃijoɯʃijoɯ
妊娠 ninʃin
授乳 dʒijɯnijɯɯ
妊娠中 ninʃintʃijɯɯ
授乳中 dʒijɯnijɯɯtʃijɯɯ
今日 kijoɯ
昨日 kinoɯ
明日 aʃita
今朝 kesa
今晩 konban
昨晩 sakɯban
明朝 mijoɯtʃijoɯ
朝と夜 asatojoɾɯ
朝 asa
夜 joɾɯ
昼 hiɾɯ
朝昼夜 asahiɾɯjoɾɯ
先週 senʃijɯɯ
今週 konʃijɯɯ
来週 ɾaiʃijɯɯ
先月 senɡetsɯ
今月 konɡetsɯ
来月 ɾaiɡetsɯ
去年 kijonen
今年 kotoʃi
来年 ɾainen
毎日 mainitʃi
毎週 maiʃijɯɯ
毎月 maitsɯki
毎年 maitoʃi
いつも itsɯmo
時々 tokidoki
たまに tamani
最近 saikin
以前 izen
前回 zenkai
今回 konkai
次回 dʒikai
一日 itʃinitʃi
二日 fɯtsɯka
三日 mikka
四日 jokka
五日 itsɯka
六日 mɯika
七日 nanoka
八日 joɯka
九日 kokonoka
十日 tooka
二十日 hatsɯka
一週間 iʃʃijɯɯkan
二週間 niʃijɯɯkan
三週間 sanʃijɯɯkan
一ヶ月 ikkaɡetsɯ
二ヶ月 nikaɡetsɯ
三ヶ月 sankaɡetsɯ
半年 hantoʃi
一年 itʃinen
すごく sɯɡokɯ
とても totemo
かなり kanaɾi
少し sɯkoʃi
ちょっと tʃijotto
結構 kekkoɯ
相当 soɯtoɯ
ひどい hidoi
激しい haɡeʃii
軽い kaɾɯi
重い omoi
強い tsɯjoi
弱い jowai
他の場所 hokanobaʃijo
他に hokani
他の hokano
効きにくくて kikinikɯkɯte
効きにくい kikinikɯi
効きませんでした kikimasendeʃita
効きません kikimasen
効きました kikimaʃita
効きます kikimasɯ
効く kikɯ
効かない kikanai
蕁麻疹 dʒinmaʃin
生年月日を教えていただけますか seinenɡappio,oʃieteitadakemasɯka
生年月日も教えていただけますか seinenɡappimo,oʃieteitadakemasɯka
生年月日も教えて seinenɡappimo,oʃiete
山田太郎さんですね。生年月日も確認させてください jamadataɾoɯsandesɯne.seinenɡappimo,kakɯninsasetekɯdasai
山田太郎さんですね jamadataɾoɯsandesɯne
生年月日も確認させてください seinenɡappimo,kakɯninsasetekɯdasai
確認させてください kakɯninsasetekɯdasai
今日はどのような症状でいらっしゃいましたか kijoɯha,donojoɯnaʃijoɯdʒijoɯde,iɾaʃʃijaimaʃitaka
どのような症状でいらっしゃいましたか donojoɯnaʃijoɯdʒijoɯde,iɾaʃʃijaimaʃitaka
いらっしゃいましたか iɾaʃʃijaimaʃitaka
夕食中に jɯɯʃijokɯtʃijɯɯni
夕食中 jɯɯʃijokɯtʃijɯɯ
夕食 jɯɯʃijokɯ
もう少し詳しく教えていただけますか moɯsɯkoʃikɯwaʃikɯ,oʃieteitadakemasɯka
もう少し詳しく教えてください moɯsɯkoʃikɯwaʃikɯ,oʃietekɯdasai
詳しく教えていただけますか kɯwaʃikɯ,oʃieteitadakemasɯka
詳しく教えてください kɯwaʃikɯ,oʃietekɯdasai
もう少し moɯsɯkoʃi
詳しく kɯwaʃikɯ
教えていただけますか oʃieteitadakemasɯka
教えていただけます oʃieteitadakemasɯ
教えてください oʃietekɯdasai
教えて oʃiete
生年月日 seinenɡappi
田中 tanaka
響きます hibikimasɯ
響く hibikɯ
響いて hibiite
食事 ʃijokɯdʒi
食べ物 tabemono
飲み物 nomimono
固いもの kataimono
硬いもの kataimono
柔らかいもの jawaɾakaimono
冷たいもの tsɯmetaimono
熱いもの atsɯimono
温かいもの atatakaimono
甘いもの amaimono
辛いもの kaɾaimono
酸っぱいもの sɯppaimono
仕事 ʃiɡoto
睡眠 sɯimin
運動 ɯndoɯ
生活 seikatsɯ
習慣 ʃijɯɯkan
喫煙 kitsɯen
飲酒 inʃijɯ
タバコ tabako
お酒 osake
困っています komatteimasɯ
困っている komatteiɾɯ
困ってます komattemasɯ
困ってる komatteɾɯ
困った komatta
困る komaɾɯ
心配 ʃinpai
不安 fɯan
怖い kowai
恐い kowai
怖くて kowakɯte
辛い tsɯɾai
つらい tsɯɾai
我慢 ɡaman
我慢できない ɡamandekinai
耐える taeɾɯ
耐えられない taeɾaɾenai
大丈夫 daidʒijoɯbɯ
安心 anʃin
楽になった ɾakɯninatta
良くなった jokɯnatta
悪くなった waɾɯkɯnatta
治りません naoɾimasen
治りました naoɾimaʃita
治ります naoɾimasɯ
治らない naoɾanai
治った naotta
治る naoɾɯ
治す naosɯ
治して naoʃite
治してください naoʃitekɯdasai
症状 ʃijoɯdʒijoɯ
炎症 enʃijoɯ
感染 kansen
細菌 saikin
化膿 kanoɯ
根管 konkan
神経 ʃinkei
知覚 tʃikakɯ
過敏 kabin
予防 joboɯ
定期検診 teikikenʃin
経過観察 keikakansatsɯ
安静 ansei
改善 kaizen
悪化 akka
完治 kantʃi
治癒 tʃijɯ
回復 kaifɯkɯ
再発 saihatsɯ
転移 teni
進行 ʃinkoɯ
初期 ʃijoki
中期 tʃijɯɯki
末期 makki
急性 kijɯɯsei
慢性 mansei
お名前を確認させていただけますか onamaeo,kakɯninsaseteitadakemasɯka
お名前を確認 onamaeokakɯnin
お名前を確認させていただけます onamaeo,kakɯninsaseteitadakemasɯ
確認させていただけますか kakɯninsaseteitadakemasɯka
確認させていただけます kakɯninsaseteitadakemasɯ
させていただけますか saseteitadakemasɯka
させていただけます saseteitadakemasɯ
お名前 onamae
名前 namae
注意 tʃijɯɯi
説明 setsɯmei
指示 ʃidʒi
確認します kakɯninʃimasɯ
確認して kakɯninʃite
確認した kakɯninʃita
確認 kakɯnin
了解 ɾijoɯkai
理解 ɾikai
質問 ʃitsɯmon
相談 soɯdan
希望 kiboɯ
要望 joɯboɯ
お願い oneɡai
予約 jojakɯ
診療時間 ʃinɾijoɯdʒikan
受付時間 ɯketsɯkedʒikan
待ち時間 matʃidʒikan
会計 kaikei
保険 hoken
保険証 hokenʃijoɯ
診察券 ʃinsatsɯken
紹介状 ʃijoɯkaidʒijoɯ
０ 
１ itʃi
２ ni
３ san
４ jon
５ ɡo
６ ɾokɯ
７ nana
８ hatʃi
８くらいです hatʃikɯɾaidesɯ
８くらい hatʃikɯɾai
９ kijɯɯ
１０ dʒijɯɯ

